home_team,away_team,home_team_goal_count,away_team_goal_count,xg_home,xg_away,home_win,xg_diff,factor_casa,roi_home
Liverpool,Bournemouth,4,2,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Newcastle,0,0,0.0,0.0,0,0.0,1.0,0.0
Brighton,Fulham,1,1,0.0,0.0,0,0.0,1.0,0.0
Sunderland,West Ham,3,0,0.0,0.0,1,0.0,1.0,0.0
Tottenham,Burnley,3,0,0.0,0.0,1,0.0,1.0,0.0
Wolves,Man City,0,4,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Crystal Palace,0,0,0.0,0.0,0,0.0,1.0,0.0
Nott'm Forest,Brentford,3,1,0.0,0.0,1,0.0,1.0,0.0
Man United,Arsenal,0,1,0.0,0.0,0,0.0,1.0,0.0
Leeds,Everton,1,0,0.0,0.0,1,0.0,1.0,0.0
West Ham,Chelsea,1,5,0.0,0.0,0,0.0,1.0,0.0
Man City,Tottenham,0,2,0.0,0.0,0,0.0,1.0,0.0
Bournemouth,Wolves,1,0,0.0,0.0,1,0.0,1.0,0.0
Brentford,Aston Villa,1,0,0.0,0.0,1,0.0,1.0,0.0
Burnley,Sunderland,2,0,0.0,0.0,1,0.0,1.0,0.0
Arsenal,Leeds,5,0,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Nott'm Forest,1,1,0.0,0.0,0,0.0,1.0,0.0
Everton,Brighton,2,0,0.0,0.0,1,0.0,1.0,0.0
Fulham,Man United,1,1,0.0,0.0,0,0.0,1.0,0.0
Newcastle,Liverpool,2,3,0.0,0.0,0,0.0,1.0,0.0
Chelsea,Fulham,2,0,0.0,0.0,1,0.0,1.0,0.0
Man United,Burnley,3,2,0.0,0.0,1,0.0,1.0,0.0
Sunderland,Brentford,2,1,0.0,0.0,1,0.0,1.0,0.0
Tottenham,Bournemouth,0,1,0.0,0.0,0,0.0,1.0,0.0
Wolves,Everton,2,3,0.0,0.0,0,0.0,1.0,0.0
Leeds,Newcastle,0,0,0.0,0.0,0,0.0,1.0,0.0
Brighton,Man City,2,1,0.0,0.0,1,0.0,1.0,0.0
Nott'm Forest,West Ham,0,3,0.0,0.0,0,0.0,1.0,0.0
Liverpool,Arsenal,1,0,0.0,0.0,1,0.0,1.0,0.0
Aston Villa,Crystal Palace,0,3,0.0,0.0,0,0.0,1.0,0.0
Arsenal,Nott'm Forest,3,0,0.0,0.0,1,0.0,1.0,0.0
Bournemouth,Brighton,2,1,0.0,0.0,1,0.0,1.0,0.0
Crystal Palace,Sunderland,0,0,0.0,0.0,0,0.0,1.0,0.0
Everton,Aston Villa,0,0,0.0,0.0,0,0.0,1.0,0.0
Fulham,Leeds,1,0,0.0,0.0,1,0.0,1.0,0.0
Newcastle,Wolves,1,0,0.0,0.0,1,0.0,1.0,0.0
West Ham,Tottenham,0,3,0.0,0.0,0,0.0,1.0,0.0
Brentford,Chelsea,2,2,0.0,0.0,0,0.0,1.0,0.0
Burnley,Liverpool,0,1,0.0,0.0,0,0.0,1.0,0.0
Man City,Man United,3,0,0.0,0.0,1,0.0,1.0,0.0
Liverpool,Everton,2,1,0.0,0.0,1,0.0,1.0,0.0
Brighton,Tottenham,2,2,0.0,0.0,0,0.0,1.0,0.0
Burnley,Nott'm Forest,1,1,0.0,0.0,0,0.0,1.0,0.0
West Ham,Crystal Palace,1,2,0.0,0.0,0,0.0,1.0,0.0
Wolves,Leeds,1,3,0.0,0.0,0,0.0,1.0,0.0
